Rank|School|City
112|Clemson University|Clemson
113|University of New Hampshire|Durham ...
114|Oklahoma State University|Stillwater ...
115|Wayne State University|Detroit
116|The University of Alabama|Tuscaloosa ...
117|Fordham University|The Bronx ...
118|The University of Tennessee at Martin|Martin ...
119|Stony Brook University|Stony Brook
120|California Polytechnic State University, San Luis Obispo|San Luis Obispo
121|Auburn University|Auburn
122|Loyola University Chicago|Chicago
123|Liberty University|Lynchburg
124|Michigan Technological University|Houghton
125|DePaul University|Chicago
126|American University|Washington
127|Syracuse University|Syracuse
128|West Virginia University|Morgantown ...
129|Utah State University|Logan ...
130|Texas Tech University|Lubbock
131|Tulane University|New Orleans
132|University of Maryland, Baltimore County|Baltimore
133|Western Michigan University|Kalamazoo
134|Southern Methodist University|Dallas
135|Montana State University|Bozeman
136|University of Arkansas|Fayetteville
137|The University of Texas at Arlington|Arlington
138|University of Wisconsin-Milwaukee|Milwaukee
139|University of Denver|Denver
140|Northern Arizona University|Flagstaff ...
141|Baylor University|Waco
142|University at Albany, State University of New York|Albany
143|Lamar University|Beaumont
144|Ohio University|Athens ...
145|University of Alabama at Birmingham|Birmingham
146|James Madison University|Harrisonburg
147|College of William & Mary|Williamsburg
148|California State University, Long Beach|Long Beach
149|Kansas State University|Manhattan ...
150|University of Rhode Island|Kingston ...
151|Santa Clara University|Santa Clara
152|Brandeis University|Waltham
153|University of Idaho|Moscow
154|Northern Illinois University|DeKalb
155|Grand Canyon University|Phoenix
156|Florida Atlantic University|Boca Raton ...
157|Worcester Polytechnic Institute|Worcester
158|Indiana University - Purdue University Indianapolis|Indianapolis
159|Old Dominion University|Norfolk
160|The New School|New York City
161|Illinois Institute of Technology|Chicago
162|Mississippi State University|Mississippi State ...
163|University of North Carolina at Charlotte|Charlotte
164|Southern New Hampshire University|Manchester
165|Binghamton University, State University of New York|Vestal
166|University of Maryland University College|Adelphi
167|Saint Louis University|St. Louis ...
168|University of Nevada, Las Vegas|Las Vegas
169|Texas State University|San Marcos ...
170|University of Colorado Denver|Denver
171|University of Nevada, Reno|Reno
172|New Mexico State University|Las Cruces
173|Wake Forest University|Winston Salem
174|California State University, Sacramento|Sacramento
175|California State Polytechnic University, Pomona|Pomona
176|Lehigh University|Bethlehem
177|University of Missouri-Kansas City|Kansas City
178|Swarthmore College|Swarthmore
179|Marquette University|Milwaukee
180|East Carolina University|Greenville
181|Carleton College|Northfield
182|Kennesaw State University|Kennesaw
183|Grand Valley State University|Allendale ...
184|University of Louisville|Louisville ...
185|Bowling Green State University|Bowling Green ...
186|University of Maryland, Baltimore|Baltimore
187|Nova Southeastern University|Fort Lauderdale ...
188|Middlebury College|Middlebury
189|Western Washington University|Bellingham
190|University of Wyoming|Laramie
191|New Jersey Institute of Technology|Newark
192|California State University, Chico|Chico
193|Appalachian State University|Boone
194|Towson University|Towson
195|Pace University|New York City ...
196|University of Richmond|Richmond
197|Oregon Health & Science University|Portland ...
198|University of San Francisco|San Francisco
199|Miami University|Oxford ...
200|University of Mississippi|University
201|Berklee College of Music|Boston
202|Boise State University|Boise
203|The University of Texas at San Antonio|San Antonio
204|University of Massachusetts Lowell|Lowell
205|University of Dayton|Dayton
206|Villanova University|Villanova
207|Embry-Riddle Aeronautical University|Daytona Beach ...
208|University of North Dakota|Grand Forks
209|University of Akron|Akron ...
210|Ball State University|Muncie
211|Southern Illinois University Carbondale|Carbondale ...
212|Brigham Young University-Idaho|Rexburg
213|University of Alaska Fairbanks|Fairbanks ...
214|Central Michigan University|Mount Pleasant
215|University of Toledo|Toledo
216|The University of Texas MD Anderson Cancer Center|Houston
217|The University of Memphis|Memphis ...
218|North Dakota State University|Fargo
219|University of San Diego|San Diego
220|Bucknell University|Lewisburg
221|Smith College|Northampton
222|Loyola Marymount University|Los Angeles
223|Wesleyan University|Middletown
224|University of Massachusetts Boston|Boston
225|Calvin College|Grand Rapids
226|The University of Maine|Orono
227|Wright State University|Dayton ...
228|University of North Carolina at Greensboro|Greensboro
229|Mount Holyoke College|South Hadley
230|Pepperdine University|Malibu ...
231|Creighton University|Omaha
232|The University of Texas at El Paso|El Paso
233|University of Northern Iowa|Cedar Falls
234|Williams College|Williamstown
235|Illinois State University|Normal
236|California State University, Los Angeles|Los Angeles
237|Missouri University of Science and Technology|Rolla
238|California State University, Fresno|Fresno
239|Western Kentucky University|Bowling Green
240|Chapman University|Orange
241|Rowan University|Glassboro ...
242|Yeshiva University|New York City
243|Sonoma State University|Rohnert Park
244|The University of Montana|Missoula
245|Clark University|Worcester
246|Harvey Mudd College|Claremont ...
247|Cleveland State University|Cleveland
248|University of North Carolina Wilmington|Wilmington
249|Colby College|Waterville
250|Oakland University|Rochester Hills
251|Middle Tennessee State University|Murfreesboro
252|Thomas Jefferson University|Philadelphia
253|Baylor College of Medicine|Houston
254|Hofstra University|Hempstead
255|Savannah College of Art and Design|Savannah ...
256|United States Air Force Academy|Colorado Springs
257|Eastern Michigan University|Ypsilanti ...
258|Seton Hall University|South Orange
259|Gonzaga University|Spokane
260|University of Nebraska at Omaha|Omaha
261|University of North Florida|Jacksonville
262|Humboldt State University|Arcata
263|University of Missouri-St. Louis|St. Louis
264|Marist College|Poughkeepsie
265|Amherst College|Amherst
266|Colorado School of Mines|Golden
267|Florida Institute of Technology|Melbourne
268|University of Southern Mississippi|Hattiesburg
269|Missouri State University|Springfield ...
270|Vassar College|Poughkeepsie
271|Ithaca College|Ithaca
272|Central Washington University|Ellensburg ...
273|Kenyon College|Gambier
274|Bryn Mawr College|Bryn Mawr
275|United States Military Academy|West Point
276|University of Massachusetts Medical School|Worcester
277|University of Texas Southwestern Medical Center|Dallas
278|Wellesley College|Wellesley
279|Oberlin College|Oberlin
280|College of Charleston|Charleston
281|Wichita State University|Wichita
282|Medical University of South Carolina|Charleston
283|United States Naval Academy|Annapolis
284|Southern Illinois University Edwardsville|Edwardsville ...
285|University of St. Thomas|St. Paul ...
286|Idaho State University|Pocatello ...
287|Montclair State University|Montclair
288|Texas Christian University|Fort Worth
289|Sam Houston State University|Huntsville
290|East Tennessee State University|Johnson City ...
291|California State University, Dominguez Hills|Carson ...
292|St. John's University|Queens ...
293|Metropolitan State University of Denver|Denver
294|Washington and Lee University|Lexington
295|Eastern Kentucky University|Richmond
296|Minnesota State University, Mankato|Mankato ...
297|Rasmussen College|St. Cloud ...
298|University of California, Merced|Merced ...
299|The Evergreen State College|Olympia
300|Marshall University|Huntington
301|University of Colorado Colorado Springs|Colorado Springs
302|Quinnipiac University|Hamden
303|Elon University|Elon
304|California State University, San Bernardino|San Bernardino ...
305|Babson College|Babson Park
306|Biola University|La Mirada
307|School of Visual Arts|New York City
308|University of Wisconsin-Eau Claire|Eau Claire
309|Howard University|Washington
310|New Mexico Institute of Mining and Technology|Socorro
311|Bowdoin College|Brunswick
312|University of Massachusetts Dartmouth|North Dartmouth
313|Central Connecticut State University|New Britain
314|Bard College|Annandale-on-Hudson
315|University of Wisconsin-Stevens Point|Stevens Point
316|Weber State University|Ogden ...
317|Stevens Institute of Technology|Hoboken
318|West Chester University of Pennsylvania|West Chester
319|St. Olaf College|Northfield
320|The University of Alabama in Huntsville|Huntsville
321|The Catholic University of America|Washington
322|The University of Texas Health Science Center at San Antonio|San Antonio
323|Georgia Southern University|Statesboro ...
324|Purdue University Global|Davenport
325|Seattle University|Seattle
326|The University of Tulsa|Tulsa
327|Indiana State University|Terre Haute
328|Radford University|Radford
329|Icahn School of Medicine at Mount Sinai|New York City
330|Earlham College|Richmond
331|Utah Valley University|Orem ...
332|California State University San Marcos|San Marcos ...
333|State University of New York at Oswego|Oswego
334|Indiana University of Pennsylvania|Indiana
335|Buffalo State College|Buffalo
336|Reed College|Portland
337|Duquesne University|Pittsburgh
338|Ferris State University|Big Rapids
339|St. Cloud State University|St. Cloud
340|College of Saint Benedict/Saint John's University|St. Joseph ...
341|University of Wisconsin-Green Bay|Green Bay
342|Grinnell College|Grinnell
343|Webster University|St. Louis
344|University of Baltimore|Baltimore
345|The University of Texas Medical Branch at Galveston|Galveston
346|Lock Haven University|Lock Haven ...
347|Furman University|Greenville
348|The Rockefeller University|New York City
349|Haverford College|Haverford
350|Augusta University|Augusta
351|Pomona College|Claremont
352|Columbia College Chicago|Chicago
353|Lewis & Clark College|Portland
354|Bentley University|Waltham
355|Eastern Illinois University|Charleston
356|The University of Texas Health Science Center at Houston|Houston
357|Dickinson College|Carlisle
358|Fashion Institute of Technology|New York City
359|Stetson University|DeLand
360|Colgate University|Hamilton
361|Western Illinois University|Macomb ...
362|Valencia College|Orlando
363|Medical College of Wisconsin|Milwaukee
364|Clarkson University|Potsdam
365|Florida Gulf Coast University|Fort Myers
366|University of Arkansas at Little Rock|Little Rock
367|Simmons University|Boston
368|University of West Florida|Pensacola ...
369|Suffolk University|Boston ...
370|DeVry University|Chicago ...
371|Bates College|Lewiston
372|University of Nebraska Medical Center|Omaha
373|Northern Michigan University|Marquette
374|Eastern Washington University|Cheney
375|The College of New Jersey|Ewing
376|Pratt Institute|Brooklyn
377|Stephen F. Austin State University|Nacogdoches
378|University of Wisconsin-Whitewater|Whitewater
379|Hobart and William Smith Colleges|Geneva
380|Davidson College|Davidson
381|Rhode Island School of Design|Providence
382|Purdue University Fort Wayne|Fort Wayne
383|Butler University|Indianapolis
384|University of Louisiana at Lafayette|Lafayette
385|Trinity College|Hartford
386|Bradley University|Peoria
387|University of Northern Colorado|Greeley
388|University of South Dakota|Vermillion
389|University of Wisconsin-Stout|Menomonie
390|University of Texas Rio Grande Valley|Brownsville ...
391|University of Hartford|West Hartford
392|Loyola University Maryland|Baltimore
393|Loma Linda University|Loma Linda
394|Macalester College|St. Paul
395|California State University Stanislaus|Turlock ...
396|Whitman College|Walla Walla
397|Trinity University|San Antonio
398|Hamilton College|Clinton
399|California State University, East Bay|Hayward ...
400|Arkansas State University|Jonesboro
401|Northern Kentucky University|Highland Heights ...
402|Gallaudet University|Washington
403|University of Wisconsin-La Crosse|La Crosse
404|Long Island University|Brooklyn ...
405|Shippensburg University of Pennsylvania|Shippensburg
406|University of the Pacific|Stockton ...
407|University of West Georgia|Carrollton
408|Louisiana Tech University|Ruston
409|Colorado College|Colorado Springs ...
410|Academy of Art University|San Francisco
411|State University of New York at New Paltz|New Paltz
412|Wheaton College|Wheaton
413|Drew University|Madison
414|Emerson College|Boston
415|Concordia University, Oregon|Portland
416|Union College|Schenectady
417|Kean University|Union ...
418|Azusa Pacific University|Azusa
419|University of Wisconsin-Oshkosh|Oshkosh
420|Gettysburg College|Gettysburg
421|Connecticut College|New London
422|Skidmore College|Saratoga Springs
423|Andrews University|Berrien Springs
424|University of Central Arkansas|Conway
425|Monmouth University|West Long Branch
426|Regent University|Virginia Beach
427|Fairleigh Dickinson University|Teaneck ...
428|Hanover College|Hanover
429|Lafayette College|Easton
430|Hult International Business School|Cambridge ...
431|Tennessee Tech University|Cookeville
432|Western Oregon University|Monmouth
433|University of Evansville|Evansville
434|Johnson and Wales University|Providence ...
435|The Juilliard School|New York City
436|Adelphi University|Garden City
437|Bridgewater State University|Bridgewater
438|The University of Tennessee at Chattanooga|Chattanooga
439|California Institute of the Arts|Valencia
440|Fort Hays State University|Hays
441|Valparaiso University|Valparaíso
442|Barnard College|New York City
443|University of New Orleans|New Orleans
444|University of Illinois at Springfield|Springfield ...
445|Truman State University|Kirksville
446|University of South Alabama|Mobile
447|Pacific University|Forest Grove
448|Hillsdale College|Hillsdale
449|Miami Dade College|Miami
450|Champlain College|Burlington ...
451|Loyola University New Orleans|New Orleans
452|University of New England|Biddeford ...
453|Hampshire College|Amherst
454|New York Institute of Technology|Old Westbury ...
455|Regis University|Denver
456|Saint Joseph's University|Philadelphia
457|College of the Holy Cross|Worcester
458|Naval Postgraduate School|Monterey
459|University of New Haven|West Haven ...
460|Mercer University|Macon ...
461|The Cooper Union for the Advancement of Science and Art|New York City
462|Strayer University|Washington ...
463|SUNY Geneseo|Geneseo
464|DePauw University|Greencastle
465|ArtCenter College of Design|Pasadena
466|Stockton University|Galloway ...
467|Rose-Hulman Institute of Technology|Terre Haute
468|Texas A&M University-Corpus Christi|Corpus Christi
469|Emporia State University|Emporia
470|Rollins College|Winter Park
471|West Texas A&M University|Canyon ...
472|Willamette University|Salem
473|Seattle Pacific University|Seattle
474|Texas Tech University Health Sciences Center|Lubbock ...
475|Southeast Missouri State University|Cape Girardeau
476|Sacred Heart University|Fairfield
477|School of the Art Institute of Chicago|Chicago
478|Franklin and Marshall College|Lancaster
479|Drake University|Des Moines
480|National University|La Jolla
481|University of Michigan-Flint|Flint ...
482|Widener University|Chester ...
483|Valdosta State University|Valdosta
484|Texas Woman's University|Denton ...
485|Occidental College|Los Angeles
486|SUNY College of Environmental Science and Forestry|Syracuse
487|SUNY Upstate Medical University|Syracuse
488|Plymouth State University|Plymouth
489|University of Detroit Mercy|Detroit
490|Western Carolina University|Cullowhee ...
491|The Culinary Institute of America|Hyde Park
492|Belmont University|Nashville
493|Milwaukee School of Engineering|Milwaukee
494|Touro College|New York City ...
495|University of Hawaii at Manoa|Honolulu
496|University of North Carolina at Asheville|Asheville
497|Samford University|Birmingham
498|Uniformed Services University of the Health Sciences|Bethesda
499|University of Puget Sound|Tacoma
500|Cedarville University|Cedarville
501|California State University, Bakersfield|Bakersfield
502|Hope College|Holland
503|North Carolina Agricultural and Technical State University|Greensboro
504|University of Central Oklahoma|Edmond
505|SUNY College at Oneonta|Oneonta
506|SUNY Empire State College|Saratoga Springs
507|Xavier University|Cincinnati
508|St. Edward's University|Austin
509|SUNY Cortland|Cortland
510|Angelo State University|San Angelo
511|Bloomsburg University of Pennsylvania|Bloomsburg
512|Pitzer College|Claremont
513|Youngstown State University|Youngstown
514|Troy University|Troy ...
515|Bellevue College|Bellevue
516|California State University Channel Islands|Camarillo
517|University of Wisconsin-Platteville|Platteville
518|The University of Oklahoma Health Sciences Center|Oklahoma City
519|William Paterson University|Wayne
520|Rider University|Lawrenceville ...
521|Frostburg State University|Frostburg ...
522|Southeastern Louisiana University|Hammond
523|Northeastern Illinois University|Chicago
524|Pacific Lutheran University|Tacoma
525|Antioch University|Yellow Springs ...
526|South Dakota State University|Brookings
527|Rhode Island College|Providence
528|Fairfield University|Fairfield
529|University of Arkansas for Medical Sciences|Little Rock
530|Abilene Christian University|Abilene
531|Minnesota State University Moorhead|Moorhead
532|North Carolina Central University|Durham
533|Texas A&M University-Commerce|Commerce
534|Louisiana State University Health Sciences Center|New Orleans ...
535|University of Mary Washington|Fredericksburg
536|Saint Mary's College of California|Moraga
537|Broward College|Fort Lauderdale
538|The State University of New York at Potsdam|Potsdam
539|McDaniel College|Westminster
540|Claremont Graduate University|Claremont ...
541|The College of Wooster|Wooster
542|Le Moyne College|Syracuse
543|St. Lawrence University|Canton
544|St Petersburg College|Clearwater
545|Winthrop University|Rock Hill
546|Gordon College|Wenham ...
547|University of Portland|Portland
548|Lawrence University|Appleton
549|Ramapo College of New Jersey|Mahwah
550|Millersville University of Pennsylvania|Millersville
551|Claremont McKenna College|Claremont
552|Florida Agricultural and Mechanical University|Tallahassee
553|Hamline University|St. Paul
554|Longwood University|Farmville
555|University of Scranton|Scranton
556|High Point University|High Point
557|Denison University|Granville
558|University of North Georgia|Dahlonega
559|George Fox University|Newberg
560|Beloit College|Beloit
561|Colorado Technical University|Colorado Springs ...
562|California State University, Monterey Bay|Seaside
563|Salem State University|Salem
564|College of Southern Nevada|Las Vegas
565|Maharishi University of Management|Fairfield
566|Maryville University|St. Louis
567|University of California, Hastings College of the Law|San Francisco
568|Augsburg College|Minneapolis
569|Murray State University|Murray ...
570|Roosevelt University|Chicago ...
571|Goucher College|Towson
572|Bluffton University|Bluffton
573|Sweet Briar College|Sweet Briar
574|SUNY Downstate Medical Center|Brooklyn
575|Lesley University|Cambridge ...
576|Kutztown University of Pennsylvania|Kutztown
577|Agnes Scott College|Decatur
578|Ashland University|Ashland
579|Baker College|Flint ...
580|Indiana Wesleyan University|Marion
581|Southern Utah University|Cedar City
582|California College of the Arts|San Francisco ...
583|Campbell University|Buies Creek
584|Seton Hill University|Greensburg
585|Elmhurst College|Elmhurst
586|Gustavus Adolphus College|St. Peter
587|Rhodes College|Memphis
588|The College at Brockport|Brockport
589|Austin Peay State University|Clarksville
590|Kettering University|Flint
591|Salisbury University|Salisbury
592|Augustana College|Rock Island
593|University of Southern Indiana|Evansville
594|Norwich University|Northfield
595|Wabash College|Crawfordsville
596|Georgia College and State University|Milledgeville ...
597|Carson-Newman University|Jefferson City
598|Sewanee: The University of the South|Sewanee
599|Capital University|Columbus
600|Bethel University|St. Paul ...
601|Saint Michael's College|Colchester ...
602|Chicago State University|Chicago
603|University of Houston-Clear Lake|Houston ...
604|University of Bridgeport|Bridgeport ...
605|St. Catherine University|St. Paul
606|The Citadel, The Military College of South Carolina|Charleston
607|SUNY Polytechnic Institute|Utica
608|Christopher Newport University|Newport News
609|State University of New York College at Plattsburgh|Plattsburgh ...
610|Arcadia University|Glenside
611|Harding University|Searcy ...
612|Sarah Lawrence College|Bronxville
613|The University of Tampa|Tampa
614|Pittsburg State University|Pittsburg
615|Roger Williams University|Bristol
616|Slippery Rock University of Pennsylvania|Slippery Rock
617|Alfred University|Alfred
618|Barry University|Miami ...
619|Southern Connecticut State University|New Haven
620|Lewis University|Romeoville
621|Maryland Institute College of Art|Baltimore
622|Illinois Wesleyan University|Bloomington
623|Goshen College|Goshen
624|Jacksonville State University|Jacksonville
625|University of Nebraska at Kearney|Kearney
626|California Lutheran University|Thousand Oaks
627|The College of St. Scholastica|Duluth ...
628|Berea College|Berea
629|Columbia College|Columbia
630|Messiah College|Mechanicsburg
631|Coastal Carolina University|Conway ...
632|Texas A&M University-Kingsville|Kingsville
633|Ohio Northern University|Ada
634|Southern Oregon University|Ashland ...
635|Siena College|Loudonville
636|National Defense University|Fort Lesley J McNair
637|Mississippi College|Clinton ...
638|Tarleton State University|Stephenville ...
639|Luther College|Decorah
640|Bryant University|Smithfield
641|Tennessee State University|Nashville
642|Dakota State University|Madison ...
643|Winona State University|Winona
644|Canisius College|Buffalo
645|Bastyr University|Kenmore
646|Saint Anselm College|Manchester
647|Southwestern University|Georgetown
648|Kalamazoo College|Kalamazoo
649|Berry College|Mount Berry
650|Wilkes University|Wilkes-Barre
651|Lawrence Technological University|Southfield
652|State University of New York at Fredonia|Fredonia
653|Oregon Institute of Technology|Klamath Falls
654|Harrisburg University of Science and Technology|Harrisburg
655|New Jersey City University|Jersey City
656|Morgan State University|Baltimore
657|Eastern New Mexico University|Portales
658|Western Connecticut State University|Danbury
659|University of Wisconsin-River Falls|River Falls
660|Purchase College, State University of New York|Purchase
661|Saginaw Valley State University|University Center
662|Albion College|Albion
663|Carthage College|Kenosha
664|Ohio Wesleyan University|Delaware ...
665|La Salle University|Philadelphia
666|University of Southern Maine|Portland ...
667|Providence College|Providence
668|The University of Tennessee Health Science Center|Memphis
669|Utica College|Utica
670|Western University of Health Sciences|Pomona
671|Washburn University|Topeka
672|The University of Texas at Tyler|Tyler
673|Saint Mary's University of Minnesota|Winona ...
674|Santa Fe College|Gainesville
675|Fort Lewis College|Durango
676|University of North Carolina at Pembroke|Pembroke
677|Bellevue University|Bellevue ...
678|Dominican University of California|San Rafael
679|Baldwin Wallace University|Berea
680|Franklin University|Columbus
681|St. Bonaventure University|St. Bonaventure
682|Northwest Missouri State University|Maryville ...
683|Pennsylvania College of Technology|Williamsport
684|University of Central Missouri|Warrensburg
685|A.T. Still University|Kirksville ...
686|Arkansas Tech University|Russellville
687|Columbus State University|Columbus
688|Wentworth Institute of Technology|Boston
689|Morehead State University|Morehead ...
690|Elizabethtown College|Elizabethtown
691|Midwestern University|Downers Grove ...
692|Marietta College|Marietta
693|Olivet Nazarene University|Bourbonnais
694|Lipscomb University|Nashville
695|Keene State College|Keene
696|University of Louisiana at Monroe|Monroe
697|Palm Beach State College|Lake Worth
698|South University|Savannah
699|Golden Gate University|San Francisco ...
700|Governors State University|University Park
701|California Institute of Integral Studies|San Francisco
702|Morehouse College|Atlanta
703|Lake Superior State University|Sault Ste. Marie
704|University of North Alabama|Florence
705|Hawaii Pacific University|Honolulu
706|Texas Southern University|Houston
707|Spelman College|Atlanta
708|Saint Leo University|Saint Leo ...
709|University of Redlands|Redlands
710|University of La Verne|La Verne ...
711|Eckerd College|St. Petersburg ...
712|The University of Findlay|Findlay
713|Seminole State College of Florida|Sanford
714|North Central College|Naperville ...
715|Lander University|Greenwood
716|Farmingdale State College|Farmingdale
717|University of Mississippi Medical Center|Jackson
718|Keck Graduate Institute|Claremont
719|Drury University|Springfield ...
720|Florida State College at Jacksonville|Jacksonville
721|Benedictine University|Lisle
722|Mills College|Oakland
723|South Dakota School of Mines and Technology|Rapid City
724|University of Wisconsin-Parkside|Kenosha
725|Fresno Pacific University|Fresno ...
726|Knox College|Galesburg ...
727|Wofford College|Spartanburg
728|Concordia University Wisconsin|Mequon
729|Northwest Nazarene University|Nampa
730|University of Indianapolis|Indianapolis
731|Clayton State University|Morrow
732|Oklahoma City University|Oklahoma City
733|Muhlenberg College|Allentown
734|Texas A&M International University|Laredo
735|Dallas Baptist University|Dallas
736|Virginia Military Institute|Lexington
737|Penn State College of Medicine|Hershey
738|Wilmington University|New Castle
739|John Carroll University|University Heights
740|Hendrix College|Conway
741|York College of Pennsylvania|York
742|Hood College|Frederick
743|Northern State University|Aberdeen
744|Westmont College|Santa Barbara
745|St. John Fisher College|Rochester
746|Chatham University|Pittsburgh
747|Susquehanna University|Selinsgrove
748|Niagara University|Niagara University
749|Jacksonville University|Jacksonville
750|Colorado Mesa University|Grand Junction
751|North Park University|Chicago
752|University of the District of Columbia|Washington
753|Alvernia University|Reading
754|Delaware State University|Dover
755|Clarion University of Pennsylvania|Clarion
756|St. Norbert College|De Pere
757|Northwestern State University of Louisiana|Natchitoches
758|Massachusetts College of Art and Design|Boston
759|Bellarmine University|Louisville
760|Northwood University|Midland ...
761|Ringling College of Art and Design|Sarasota
762|Argosy University|Orange ...
763|California Baptist University|Riverside ...
764|Dixie State University|St. George
765|University of Dallas|Irving
766|Eastern Mennonite University|Harrisonburg ...
767|Linfield College|McMinnville ...
768|Centre College|Danville
769|Otis College of Art and Design|Los Angeles
770|Assumption College|Worcester
771|Naropa University|Boulder
772|Northeastern State University|Tahlequah
773|Park University|Parkville ...
774|Roanoke College|Salem
775|Davenport University|Grand Rapids ...
776|Washington College|Chestertown
777|Ursinus College|Collegeville
778|St. Mary's University|San Antonio
779|Purdue University Northwest|Hammond
780|Manhattan College|Riverdale
781|Tuskegee University|Tuskegee
782|Prairie View A&M University|Prairie View ...
783|University of Houston-Downtown|Houston
784|Hampton University|Hampton
785|Walsh University|North Canton
786|Rush University|Chicago
787|Westminster College|Salt Lake City
788|Robert Morris University|Moon Township ...
789|Bennington College|Bennington
790|Lindenwood University|St. Charles
791|Aurora University|Aurora ...
792|The College of Saint Rose|Albany
793|Concordia University, St. Paul|St. Paul
794|Bob Jones University|Greenville
795|Eastern Virginia Medical School|Norfolk
796|Merrimack College|North Andover
797|Stonehill College|Easton
798|The University of the Arts|Philadelphia
799|Southern Adventist University|Collegedale
800|Juniata College|Huntingdon
801|Augustana University|Sioux Falls
802|Saint Ambrose University|Davenport
803|SIT Graduate Institute|Brattleboro
804|National Louis University|Chicago ...
805|Lebanon Valley College|Annville
806|Wittenberg University|Springfield
807|Alliant International University|San Diego ...
808|University of Wisconsin-Superior|Superior
809|Edinboro University of Pennsylvania|Edinboro
810|Lake Forest College|Lake Forest
811|Albany Medical College|Albany
812|Kentucky State University|Frankfort
813|St Thomas University|Miami Gardens
814|Colorado Christian University|Lakewood
815|Brooklyn Law School|Brooklyn
816|Cornell College|Mount Vernon
817|University of the Incarnate Word|San Antonio
818|Grove City College|Grove City
819|Montana Tech|Butte
820|Hiram College|Hiram
821|St. Mary's College of Maryland|St. Mary's City
822|Xavier University of Louisiana|New Orleans
823|University of the Ozarks|Clarksville
824|St John's College|Annapolis ...
